freq,unit,na_item,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,CP_EUR_HAB,B1GQ,AL	3090 	3190 	3300 	3320 	3450 	3560 	3730 	4020 	4470 p	4780 e
A,CP_EUR_HAB,B1GQ,AT	35390 	36970 	37820 	38210 	38990 	39890 	40920 	41990 	43600 	44780 
A,CP_EUR_HAB,B1GQ,BE	33330 	34060 	34770 	35210 	35950 	36960 	37960 	39120 	40290 	41450 
A,CP_EUR_HAB,B1GQ,BG	5050 	5620 	5760 	5770 	5940 	6370 	6820 	7400 	7990 	8780 
A,CP_EUR_HAB,B1GQ,CH	58170 	65750 	67330 	66340 	67650 	76400 	75090 	73830 	73180 	76200 
A,CP_EUR_HAB,B1GQ,CY	23400 	23270 	22500 	20880 	20450 	21100 	22230 	23410 	24630 	25310 p
A,CP_EUR_HAB,B1GQ,CZ	15020 	15740 	15470 	15170 	15000 	16080 	16790 	18330 	19850 	20990 
A,CP_EUR_HAB,B1GQ,DE	31940 	33550 	34130 	34860 	36150 	37050 	38070 	39440 	40480 	41510 
A,CP_EUR_HAB,B1GQ,DK	43840 	44500 	45530 	46100 	47090 	48050 	49420 	51140 	52190 	53760 
A,CP_EUR_HAB,B1GQ,EA	28840 	29460 	29490 	29710 	30220 	31020 	31790 	32900 	33900 	34820 
A,CP_EUR_HAB,B1GQ,EA12	29220 	29910 	29930 	30150 	30780 	31740 	32520 	33630 	34630 	35540 
A,CP_EUR_HAB,B1GQ,EA19	28460 	29170 	29210 	29440 	30070 	31020 	31790 	32900 	33900 	34820 
A,CP_EUR_HAB,B1GQ,EE	11150 	12650 	13620 	14420 	15340 	15820 	16670 	18130 	19660 	21220 
A,CP_EUR_HAB,B1GQ,EL	20150 b	18310 	17060 	16380 	16280 	16270 	16170 	16470 	16750 p	17100 p
A,CP_EUR_HAB,B1GQ,ES	23040 	22760 	22050 	21900 	22220 	23220 	23980 	24970 	25770 p	26430 p
A,CP_EUR_HAB,B1GQ,EU15	29770 	30490 	31020 	31160 	32160 	33760 	33850 	34560 	35460 	36430 
A,CP_EUR_HAB,B1GQ,EU27_2020	24900 	25640 	25740 	26000 	26550 	27460 	28160 	29280 	30230 	31160 
A,CP_EUR_HAB,B1GQ,EU28	25510 	26210 	26670 	26840 	27720 	29140 	29310 	30110 	31030 	32020 
A,CP_EUR_HAB,B1GQ,FI	35080 	36750 	37130 	37570 	37880 	38570 	39580 	41080 	42350 	43570 
A,CP_EUR_HAB,B1GQ,FR	30690 	31510 	31820 	32080 	32420 	33020 	33430 	34250 	35100 p	35960 p
A,CP_EUR_HAB,B1GQ,HR	10520 	10490 	10310 	10300 	10250 	10600 	11170 	11920 	12700 	13340 p
A,CP_EUR_HAB,B1GQ,HU	9960 	10230 	10080 	10310 	10750 	11450 	11830 	12960 	13910 	14950 p
A,CP_EUR_HAB,B1GQ,IE	36770 	37340 	38090 	38880 	41950 	55980 	57020 	62550 	67270 	72260 
A,CP_EUR_HAB,B1GQ,IS	32650 	34280 	35800 	37470 	41150 	47750 	56070 	63840 	62870 	60990 
A,CP_EUR_HAB,B1GQ,IT	26930 	27450 	26920 	26590 	26770 	27260 	27970 	28690 	29290 	29660 
A,CP_EUR_HAB,B1GQ,LI	: 	: 	: 	128380 	133180 	148440 	147270 	150490 p	150130 e	: 
A,CP_EUR_HAB,B1GQ,LT	9050 	10340 	11180 	11850 	12480 	12860 	13560 	14950 	16240 	17460 
A,CP_EUR_HAB,B1GQ,LU	79160 	83100 	83000 	85270 	89240 	91440 	93930 	95170 	98640 	102200 
A,CP_EUR_HAB,B1GQ,LV	8520 	9870 	10930 	11410 	11840 	12420 	12940 	13890 	15130 	15920 
A,CP_EUR_HAB,B1GQ,ME	5050 	5270 	5130 	5410 	5560 	5870 	6350 	6910 	7490 	7960 
A,CP_EUR_HAB,B1GQ,MK	3460 e	3660 e	3680 e	3950 e	4140 e	4380 e	4660 e	4840 e	5170 e	: 
A,CP_EUR_HAB,B1GQ,MT	16440 	16630 	17530 	18650 	20120 	22450 	23200 	24920 	25780 	26670 
A,CP_EUR_HAB,B1GQ,NL	38470 	38960 	38970 	39300 	39820 	40730 	41590 	43090 	44920 p	46710 p
A,CP_EUR_HAB,B1GQ,NO	66220 	72350 	79000 	77440 	73180 	66980 	63690 	66950 	69710 	67730 
A,CP_EUR_HAB,B1GQ,PL	9400 	9860 	10070 	10190 	10630 	11190 	11110 	12170 	12960 	13870 
A,CP_EUR_HAB,B1GQ,PT	16990 	16680 	16010 	16300 	16640 	17350 	18060 	19020 	19950 	20740 p
A,CP_EUR_HAB,B1GQ,RO	6200 	6540 	6620 	7190 	7570 	8080 	8630 	9580 	10500 	11530 p
A,CP_EUR_HAB,B1GQ,RS	4330 	4900 	4680 	5080 	4970 	5040 	5210 	5590 	6140 	6620 
A,CP_EUR_HAB,B1GQ,SE	39950 	43690 	45170 	46020 	45260 	46480 	46990 	47730 	46260 	46160 
A,CP_EUR_HAB,B1GQ,SI	17750 	18050 	17630 	17700 	18250 	18830 	19590 	20820 	22130 	23170 
A,CP_EUR_HAB,B1GQ,SK	12560 	13210 	13610 	13750 	14080 	14710 	14920 	15540 	16440 	17210 
A,CP_EUR_HAB,B1GQ,TR	8000 	8100 	9090 	9450 	9160 	9930 	9910 	9470 	8090 	8230 
A,CP_EUR_HAB,B1GQ,UK	29830 	30230 	33140 	32700 	35780 	40620 	37080 	35730 	36440 	37770 
