freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD	2018 
A,TOTAL,REACH,TOTAL,NR,T,AT	105633 
A,TOTAL,REACH,TOTAL,NR,T,BE	137860 
A,TOTAL,REACH,TOTAL,NR,T,BG	29559 p
A,TOTAL,REACH,TOTAL,NR,T,CH	144857 
A,TOTAL,REACH,TOTAL,NR,T,CY	23442 
A,TOTAL,REACH,TOTAL,NR,T,CZ	65910 
A,TOTAL,REACH,TOTAL,NR,T,DE	893886 be
A,TOTAL,REACH,TOTAL,NR,T,DK	64669 
A,TOTAL,REACH,TOTAL,NR,T,EE	17547 
A,TOTAL,REACH,TOTAL,NR,T,EL	119489 
A,TOTAL,REACH,TOTAL,NR,T,ES	643684 
A,TOTAL,REACH,TOTAL,NR,T,FI	31106 
A,TOTAL,REACH,TOTAL,NR,T,FR	387158 
A,TOTAL,REACH,TOTAL,NR,T,HR	26029 
A,TOTAL,REACH,TOTAL,NR,T,HU	82937 
A,TOTAL,REACH,TOTAL,NR,T,IE	97712 
A,TOTAL,REACH,TOTAL,NR,T,IS	11830 
A,TOTAL,REACH,TOTAL,NR,T,IT	332324 
A,TOTAL,REACH,TOTAL,NR,T,LI	649 
A,TOTAL,REACH,TOTAL,NR,T,LT	28914 
A,TOTAL,REACH,TOTAL,NR,T,LU	24644 
A,TOTAL,REACH,TOTAL,NR,T,LV	10909 
A,TOTAL,REACH,TOTAL,NR,T,ME	8643 
A,TOTAL,REACH,TOTAL,NR,T,MK	2053 
A,TOTAL,REACH,TOTAL,NR,T,MT	26444 
A,TOTAL,REACH,TOTAL,NR,T,NL	194306 
A,TOTAL,REACH,TOTAL,NR,T,NO	47864 
A,TOTAL,REACH,TOTAL,NR,T,PL	214083 ep
A,TOTAL,REACH,TOTAL,NR,T,PT	43170 
A,TOTAL,REACH,TOTAL,NR,T,RO	172578 e
A,TOTAL,REACH,TOTAL,NR,T,SE	132602 
A,TOTAL,REACH,TOTAL,NR,T,SI	28455 
A,TOTAL,REACH,TOTAL,NR,T,SK	7253 p
A,TOTAL,REACH,TOTAL,NR,T,UK	603953 p
